Graph,Category,V,E,Cost,P_Ops,P_Time,K_Ops,K_Time,Winner,Speedup
graph_1,small,8,16,181,111,4.32,116,0.38,Kruskal,11.37x
graph_2,small,12,24,204,167,0.09,190,0.05,Kruskal,1.80x
graph_3,small,16,32,594,240,0.13,302,0.08,Kruskal,1.62x
graph_4,small,20,40,626,310,0.17,432,0.10,Kruskal,1.70x
graph_5,small,24,48,769,372,0.16,508,0.08,Kruskal,2.00x
graph_6,medium,50,150,12508,1075,0.59,1320,0.21,Kruskal,2.81x
graph_7,medium,75,225,12394,1512,1.01,1558,3.68,Prim,3.64x
graph_8,medium,100,300,17580,2088,1.57,2388,0.31,Kruskal,5.06x
graph_9,medium,125,375,19723,2714,2.07,3408,0.32,Kruskal,6.47x
graph_10,medium,150,450,32365,3244,3.03,4026,0.36,Kruskal,8.42x
graph_11,medium,175,525,31700,3830,1.36,4868,0.43,Kruskal,3.16x
graph_12,medium,200,600,40681,4557,1.87,6288,0.57,Kruskal,3.28x
graph_13,medium,225,675,45194,5061,2.26,6904,0.46,Kruskal,4.91x
graph_14,medium,250,750,52075,5455,2.43,7004,0.46,Kruskal,5.28x
graph_15,medium,275,825,52967,5648,2.93,6198,0.49,Kruskal,5.98x
graph_16,medium,100,400,152765,2791,0.46,3330,0.19,Kruskal,2.42x
graph_17,medium,190,760,263196,5053,1.89,5268,0.37,Kruskal,5.11x
graph_18,medium,280,1120,475672,7942,4.04,9788,0.67,Kruskal,6.03x
graph_19,large,370,1480,541518,10075,6.42,11294,0.66,Kruskal,9.73x
graph_20,large,460,1840,730929,12616,9.23,14388,0.83,Kruskal,11.12x
graph_21,large,550,2200,818521,15152,12.98,17438,0.96,Kruskal,13.52x
graph_22,large,640,2560,962534,18045,18.23,22104,1.13,Kruskal,16.13x
graph_23,large,730,2920,1106034,20029,25.00,22914,1.25,Kruskal,20.00x
graph_24,large,820,3280,1197264,22911,14.48,27264,1.38,Kruskal,10.49x
graph_25,large,910,3640,1446969,26187,16.37,33286,1.62,Kruskal,10.10x
graph_26,large,500,2500,2946958,16692,5.73,18124,0.96,Kruskal,5.97x
graph_27,extra,1000,5000,5945753,33861,22.77,38246,2.08,Kruskal,10.95x
graph_28,extra,1500,7500,9004987,52652,67.19,64454,3.35,Kruskal,20.06x
graph_29,extra,2000,10000,12458041,71948,123.12,92988,3.83,Kruskal,32.15x
graph_30,extra,2500,12500,15598945,87909,167.61,108046,4.53,Kruskal,37.00x
